"Bilateral Remittance Estimates for 2014 using Migrant Stocks, Host Country Incomes, and Origin Country Incomes (millions of US$) (April 2015 Version)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remittance-receiving country (across) - Remittance-sending country (down),Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe,World
"Macedonia, FYR",,20,,,,,,,,,,0,,,,,,,,,,,,,9,,,,1,,,,,,,,,,,,,,,,,,,2,,,,0,,,,,,9,,,,,,,,,,,,,,0,,0,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,,42,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,0,,,,,,,,,,,,,,123
Madagascar,,,3,,,,,,,,,,,,,0,,,2,,,,,,,,,,,,,,,,0,,,,,,15,,6,,,,,,,,,,,,,,,0,,,,,,,,,127,,,,,1,,,,,,,,,,,,,,,15,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0,0,,,,,0,,,,,,175
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,8,,37
Malaysia,,,0,,,,,,,,16,1,,,,223,,,,,,,,,,0,0,,,,,,5,,0,,,,,,328,,,,,,,,,,,0,2,,,,,2,,,,,,,,,39,,,,0,5,0,,,,,5,0,,,,,0,,4,263,"2,001",8,1,1,,,1,,22,5,,2,,,12,,,,,,,1,,,,,,,,,,,0,,,,,0,,,,,,,1,,6,,155,1,,4,,,25,,1,,49,,,,,0,"1,654",,1,,,,1,,,,,0,,,,,,,,,,,3,,0,13,,,,,0,,,,0,0,,0,485,,,,0,,0,,,,6,,,3,33,,,,,109,,2,2,,,"5,504"
Maldives,,,,,,,,,,,0,0,,,,70,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,74,,,,,,,1,,0,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,0,0,,,,1,,,,,,,,,,,,,0,0,,,,,,,,,,,181
Mali,,,1,,,0,,,,,,,,,,,,,,,0,,,,,,,,,1,,,,0,,,,,,,0,,,,,,26,,,,,,,,,,,,,,,,,,,,34,,,1,,,0,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,25,,,,,,,,,,,,,,,,0,,,,,,23,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,,,,,,,,,,,119
Malta,0,0,0,,,0,0,0,0,,26,1,0,,,0,0,0,3,0,,,,0,0,0,0,,1,0,,0,,0,2,,,,,0,2,0,,0,,0,0,0,,,0,0,0,,,,0,3,,,,0,0,,,0,4,,,0,0,4,0,0,,,,0,0,,0,0,0,,0,0,1,0,0,0,0,,0,4,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,,,0,0,,0,,0,0,,,,,,0,0,,0,,0,,0,,0,0,0,1,,0,,0,2,,0,0,0,,,,0,0,1,0,0,,,0,1,0,0,,,0,0,2,0,0,,,0,0,,,0,,1,0,,,,,0,0,0,2,0,0,,0,1,,,,0,1,0,,,,0,0,,4,3,,,,0,0,,0,0,0,,76
Marshall Islands,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,,5
Mauritania,0,,3,,,,,0,,,,,,,,0,,,3,,0,,,,,,0,,,,,,,0,0,,,,,0,2,,,0,,,0,,,,,,,,,,,2,,,,,,,,,38,,,,,0,0,,,,,,1,1,,0,,,,,,,,0,,,,0,,,,,,,,0,,0,,,,3,,,,,,,,,,,,,25,,,,,,,,,,,1,,,,,0,,,,0,,,,,,,,,,0,,,,,1,0,0,,,,,1,90,,,,,,,,,,,,2,,,,,,0,,,,0,0,,,,,0,,,2,,,,,,,,,1,,,,,,,0,0,,,177
Mauritius,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,1,,,,,,,,,,,,0,,,39,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,218
Mexico,0,0,0,,,0,0,8,0,0,2,3,0,,,0,0,0,21,3,,1,,3,0,,6,,0,0,,0,0,0,8,,,,,0,48,25,,0,,12,0,0,,0,0,2,1,0,0,5,5,1,21,,,0,0,,0,1,103,1,,,0,27,0,0,,0,,180,0,0,0,1,47,,3,0,4,0,0,0,0,,3,15,0,12,0,0,0,,,11,,0,0,0,0,11,,0,,,0,0,0,0,0,0,0,,0,0,,,0,,,0,,0,0,1,0,,0,0,2,,0,6,,3,,1,0,0,,10,,0,11,2,2,1,,,0,1,0,,,,0,0,0,,,,0,0,0,,,0,,190,0,0,0,,0,0,0,0,5,7,0,,0,1,,0,,0,0,0,,,,0,0,,1,"1,843",1,,,2,0,,0,0,0,,"2,692"
"Micronesia, Fed. Sts.",,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,6
Moldova,0,,,,,,,,7,,,,9,,,,,26,,,,,,,,,,,0,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,11,11,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,6,,11,,,,,,23,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,0,,,,,61,,0,1,,,,,1,,,,,,345
Monaco,,,0,,,,,0,0,,1,1,,,,,,,20,,,,,,,,0,,0,,,,,0,0,,,,,0,0,,,,,,0,,,,,,1,,,,,,,,,,0,,,0,109,,,,,4,,0,,,,,0,,,0,,,0,,0,,0,,0,,0,21,,0,,,,,,,,,,,,3,,,,,,1,,,,,,,0,,,,,0,,,,,,1,,,,,1,,0,,,,,0,,,,,,,0,,0,2,,,0,0,,,,,,0,,,,,,0,0,,,0,,3,,,,,,,,,4,4,0,,,,,0,,,0,0,,,,,,,1,1,,,,0,0,,,,,,180
Mongolia,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,50,,,,,,,,,,,0,,,,,,,,,,,,,,0,1,,,,,1,,,,,,,,,,,,,0,,0,,,,0,,,0,,1,,0,,,,4,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,0,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,0,2,0,,,,1,,,,,,63
Montenegro,,16,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,1,,,,,,,,,,,,,,0,,0,,,,,,,,,,,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,30,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
Morocco,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,1,,0,,,,5,,,4,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,100
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,9,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,50
Myanmar,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395
Namibia,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,10
Nepal,,,,,,,,,,,,,,,,1,,,,,,,12,,,,,,,,,,,,,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,726",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,899"
Netherlands,6,1,5,,,0,0,2,2,2,49,38,1,,,3,0,0,"1,125",0,0,3,0,1,8,0,21,,23,0,1,14,0,2,8,,,,,0,412,25,0,0,,3,1,0,,30,0,31,18,0,0,29,4,70,1,,,2,9,0,0,10,299,3,,2,1,480,3,10,,0,,4,1,0,2,2,2,,86,3,102,291,24,5,5,,13,59,2,22,4,0,10,0,,17,,0,0,0,6,38,0,6,,,15,32,,0,1,0,3,0,0,2,0,,1,6,,0,,2,0,413,0,0,0,5,,1,2,1,0,149,,10,1,33,,2,0,0,7,53,156,34,,2,14,28,2,0,,0,2,4,154,0,3,,18,13,0,0,,18,,198,41,0,0,,0,1,7,0,50,29,3,0,1,76,,2,0,0,16,74,,,,6,1,,18,57,0,,0,1,58,,,1,0,,"5,297"
New Caledonia,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,474,66,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,15,,4,,,,,,572
New Zealand,0,,,,,,,1,,,293,7,,,,3,,,,,,,,,,,5,,,,,,2,,8,,,,,0,613,2,,,,,,3,,,,6,7,,,,,7,,,,,1,,52,,47,,,,,49,,,,,,,,,,,,3,10,,312,10,2,1,9,,,5,,37,,,5,4,,64,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,0,,4,31,,,,,,,,,7,,,0,,,159,4,,,,2,4,,63,,,2,,3,,,,,,,,,69,,,35,,,,,,,,15,13,,,,42,,,43,,,,,,2,,2,,90,47,,,,,26,,,,0,,"2,245"
Nicaragua,0,0,0,,,0,0,0,,,0,0,0,,,0,0,,1,0,,,,0,,0,0,,0,,,,,0,0,,,,,0,1,1,,0,,45,,0,,,0,,0,,0,0,0,0,5,,,,0,,0,0,2,,,,0,1,,0,,0,,7,0,,0,0,38,,0,,0,0,0,0,0,,0,1,0,0,0,0,0,,,0,,0,,,,0,,0,,,,0,,,0,,,0,0,,,,,1,,0,,,,,0,,,0,0,,0,,,0,,0,,0,,2,,0,0,0,0,0,,,,0,,,,,0,0,,0,,,,0,,,,0,,4,,0,,,0,,0,,0,0,0,,0,0,,,,0,0,0,,,,,0,,0,8,0,,,0,0,,,0,,,121
Niger,,,0,,,,,,,,,,,,,,,,,,6,,,,,,,,,1,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,289,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,340
Nigeria,,,,,,,,,,,10,,,,,,,,,,97,,,,,,,,,1,,3,,23,,,,,,,,,,,,,2,,,,,,,,,,,84,,,,,,,,,,,,9,,,23,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,127,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,538
Northern Mariana Islands,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,77
Norway,3,1,2,,,0,0,1,1,0,10,9,1,,,3,0,1,36,0,0,1,0,1,18,0,7,,7,0,1,1,0,1,3,,,,,0,77,11,0,0,,1,0,6,,,0,10,131,0,0,3,2,6,1,,,13,9,11,0,25,79,1,,5,1,110,0,2,,0,,3,0,0,0,0,1,0,30,47,64,3,14,3,1,,2,10,0,5,2,0,8,0,,19,22,0,1,0,23,21,0,4,,,146,4,0,2,2,0,1,0,0,1,0,,0,2,,2,,1,1,13,0,0,0,5,14,1,0,0,0,39,,,0,61,,0,0,0,3,100,157,6,,1,11,12,1,0,,0,1,1,11,0,0,,,14,1,0,,2,,51,39,0,0,,0,1,0,0,566,9,2,1,0,106,0,0,0,0,4,4,,,0,6,6,,7,38,0,,,0,72,,,1,0,,"2,425"
Oman,,,,,,,,,,,,,,,,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,"3,471",76,,1,,,,,,,50,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,348,,,,,,104,,,,6,,,,,,,1,,,,,,,,,,,,,,57,,,,,3,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,"4,752"
Pakistan,195,,0,,,,,,,,,,,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,697",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,133"
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,16
Panama,0,0,0,,,0,0,1,0,0,1,1,,,,0,0,0,5,0,,1,0,1,0,,2,,0,0,0,0,0,0,1,,,,,0,94,75,0,0,,28,0,0,,0,0,0,1,,0,21,4,0,6,,,0,0,0,0,0,10,,,0,0,3,0,0,,0,,6,0,0,0,1,5,0,0,0,16,0,0,0,0,,2,3,1,1,0,0,0,,,1,,0,,0,0,4,,0,,,0,0,0,0,0,0,0,0,,0,,,0,7,,0,,0,0,0,0,0,0,0,1,0,0,18,,1,,0,0,0,,,0,0,6,5,0,0,,0,0,1,,0,,,0,0,0,,0,,0,0,0,0,,0,,28,0,,0,,0,0,0,,2,1,0,,0,1,,0,0,0,0,0,,,,0,1,,1,26,0,,,1,0,,0,0,0,,401
Papua New Guinea,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,20,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,,,,,,,,54
Paraguay,,,,,,,,39,,,0,1,,,,,0,,3,,,,,1,,,100,,,,,,,,1,,,,,0,4,0,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,5,,,,,7,,0,,,,0,,,0,0,0,,,,0,,0,0,,,0,1,0,8,0,,,,,6,,,,,,6,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,0,,0,0,,,,0,,0,,0,,,3,0,1,0,,,,0,,,,,0,,,,,,,,,,,0,,9,,,,,,,0,,0,1,0,,,,,,,0,,0,,,,,0,,0,4,1,,,0,,,,,,,209
Peru,0,0,0,,,0,0,7,0,,3,1,0,,,0,0,0,15,0,,,0,8,0,0,7,,0,0,0,0,0,0,1,,,,,0,26,10,0,0,,2,0,0,,,0,0,1,0,0,1,8,0,0,,,0,0,,0,0,33,,,0,0,13,0,0,,0,,1,0,0,0,0,1,,1,0,1,0,0,0,0,,1,10,0,14,0,0,0,0,,2,,0,,0,0,1,,0,,,0,1,,0,0,0,0,0,0,0,0,,,3,0,0,,0,,0,0,0,0,0,1,,0,0,0,0,,0,0,0,,2,0,0,,1,0,0,,0,0,0,1,0,,0,0,0,,0,0,,,0,0,,,0,,52,0,0,0,,0,,0,0,4,4,0,0,0,0,,0,0,0,0,0,,,,0,0,,1,25,0,,,1,0,,,0,0,,269
Philippines,0,0,0,,,0,0,0,0,0,19,3,,,,0,,,11,,,,,0,,,0,,0,,,0,0,,5,,,,,0,199,0,,0,,0,,,,,,0,2,,,0,1,1,0,,,,,,0,0,15,,,,,14,0,0,,,,0,,,,,0,0,2,0,38,5,0,0,0,,1,4,,50,1,,0,,,17,,0,,,,1,,0,,,,,,,,,1,,,,0,,,0,,,,,,0,,0,,0,1,,0,,,3,,2,1,1,,0,0,0,0,,0,0,,3,0,0,,,,,1,,,,,,,,,,,1,,11,1,,,,,0,0,,7,4,0,,,2,0,,,,2,0,,,,,,,2,78,0,,,0,1,,,,0,,517
Poland,0,0,1,,,0,0,0,6,,5,23,0,,,0,0,63,119,0,0,,,0,4,,0,,2,0,0,,0,0,3,,,,,0,8,0,0,0,,0,0,1,,0,0,22,5,,,0,0,2,0,,,1,0,,0,1,349,1,,0,1,310,0,3,,0,,0,0,,0,,0,,11,3,4,0,0,0,8,,1,27,0,2,1,0,0,,,0,,0,0,0,4,4,,,,,211,7,,0,0,,0,,0,0,,,0,0,,1,,1,0,1,0,0,0,0,4,,0,0,0,7,,6,0,1,,0,,0,0,1,,0,,1,3,26,0,,,,0,0,3,0,0,,,5,1,,,0,,45,0,,,,,0,,,16,5,0,0,0,1,,0,,0,1,0,,,,0,295,,13,32,0,,,0,12,,,0,0,,"1,699"
Portugal,0,0,0,,,0,,1,0,,6,3,0,,,3,0,1,75,0,0,,0,0,0,0,182,,6,0,0,64,0,0,7,,,,,0,66,1,0,0,,0,0,0,,0,0,1,2,,0,0,1,2,0,,,0,0,,,1,"1,170",,,0,3,105,0,0,,0,,0,2,21,0,0,0,0,3,0,36,0,0,0,2,,1,7,0,1,0,0,0,,,0,,0,,0,0,1,0,0,,,1,121,1,0,0,0,0,,0,0,,,0,0,,48,,0,0,4,34,0,0,1,6,0,0,0,,5,,1,0,5,,0,0,0,1,2,2,,,0,23,4,0,0,,16,0,7,0,0,0,,0,0,0,,,14,,143,0,,,,,0,0,0,9,70,0,0,0,1,3,0,,0,0,0,,,,0,65,,7,16,0,,,4,0,,,0,0,,"2,397"
Puerto Rico,0,,,,,,,1,,,0,0,,,,0,0,,,,,,,0,,,0,,,,,,,,0,,,,,0,7,6,,,,4,,,,,,0,,,0,205,2,0,1,,,,,,,,2,,,,,3,,0,,,,2,,,0,0,3,,0,,0,0,0,,0,,0,1,0,0,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,5,0,,,,0,,,,,,0,,0,1,,,,,,0,,7,,,2,1,0,0,,,0,0,,,,,,,0,,,,,,,,,,,16,,,,,,,,,,,0,,,0,,,,0,,0,,,,,0,,0,410,,,,1,0,,,,,,683
Qatar,0,,,,,,,,,,,,,,,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,033",,,,,4,,,,28,,,,,,,,,,,,,,,,,,,,"4,023",104,31,,,,,,,,202,,,,,,,0,,,,66,,,,,,,,,,,,,,,,,,,,,,,,6,,,,"1,683",1,,,,,40,,,,372,,,,,,"1,150",,,,,,,,,,,1,,,,,,,,,,,,,,511,,,,,24,,,,,8,,,14,,,,,5,4,,,,,,,3,7,,,,,,,11,158,,,"10,009"
Romania,0,1,0,,,0,,0,0,,0,4,0,,,0,,0,34,0,,,0,0,0,0,0,,21,,,0,0,0,0,,,,,0,21,0,,0,,0,,2,,,0,3,1,,,0,0,0,0,,,0,0,,,0,43,,,0,0,14,0,5,,0,,0,0,0,0,0,0,,55,0,0,0,1,0,1,,1,71,0,1,4,0,0,0,,0,,0,,,0,16,,0,,,0,1,,0,0,0,0,0,0,0,,,0,0,,109,,0,0,0,0,,,,1,,0,,,0,,0,,0,,0,,0,0,0,1,2,,0,,5,0,,,,0,0,5,0,0,,,1,0,,,0,,127,,,,,,0,0,,2,1,3,0,,0,,,,0,0,1,,,,0,15,,1,6,,,,0,0,,0,0,,,583
Russian Federation,1,0,1,,,0,0,0,"1,380",,2,16,"1,107",,,1,0,576,10,0,0,1,0,0,1,0,1,,7,0,0,0,0,0,0,,,,,0,326,0,0,0,,0,0,1,,0,0,50,1,0,0,0,0,5,0,,,137,0,,0,7,31,,,0,"1,223",522,0,1,,0,,0,0,0,0,0,0,0,121,0,24,0,2,0,0,,8,5,0,4,3,133,1,0,,9,,0,"1,735",0,193,10,0,0,,,269,1,0,0,0,0,1,0,0,0,0,,0,0,0,656,,71,0,2,0,0,0,0,1,0,0,0,0,14,,3,0,2,,0,0,0,0,1,51,0,,1,4,,0,0,,0,0,0,,0,0,,0,6,1,0,,0,,12,2,,0,,,0,0,0,5,2,1,"2,952",0,1,,0,0,0,1,3,30,,1,0,"3,936",,1,10,0,"5,588",0,0,52,,0,1,0,,"21,344"
Rwanda,,,,,,,,,,,0,,,,,,,,11,,,,,,,,,,,,7,,,,0,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,160,,,0,0,,,,,,,,,,,196
